Packages
value;weight
140;11
142;38
60;22
107;37
131;28
135;20
68;33
69;69
111;64
175;67
78;4
158;48
146;40
82;49
182;17
107;74
34;54
107;46
62;12
94;60
36;99
59;63
109;74
65;23
222;13
124;98
55;83
99;20
132;25
29;85
112;51
139;7
107;60
92;76
64;93
103;76
149;14
121;99
166;28
74;9
103;66
155;78
64;50
155;98
100;14
122;59
160;15
122;75
12;79
100;52
122;99
190;23
146;43
49;79
14;7
46;36
170;68
105;8
155;25
107;21
100;77
150;32
58;15
177;32
145;36
28;23
95;2
32;65
58;35
60;6
126;95
167;30
94;68
74;28
107;67
25;4
110;55
128;35
136;26
120;54
35;47
49;36
109;55
85;95
138;34
95;29
44;31
81;18
84;29
49;3
86;42
132;6
112;30
186;41
145;91
162;30
125;2
60;96
103;81
66;64
35;20
58;98
91;14
37;77
112;15
63;19
186;94
97;17
111;27
92;23
172;96
85;21
103;55
59;40
35;83
117;43
185;13
106;34
102;95
75;17
14;69
84;2
188;33
110;47
49;29
57;98
123;12
70;52
147;90
53;45
186;41
163;83
73;90
48;76
139;24
53;32
116;76
158;8
184;65
55;77
126;92
35;91
105;47
160;76
234;43
98;33
83;27
180;89
57;45
207;90
119;91
45;82
77;92
158;2
53;53
166;56
73;83
45;1
76;85
169;9
102;74
125;8
109;5
126;45
55;61
50;1
60;54
25;93
3;25
118;89
58;35
128;2
65;39
74;99
63;90
167;46
86;26
141;4
108;9
125;43
115;51
83;84
57;84
99;65
107;77
153;78
104;35
118;78
89;23
125;60
151;50
115;81
62;77
112;62
129;2
176;62
152;32
120;99
152;54
74;66
96;66
145;41
175;64
158;44
110;64
120;44
109;53
44;83
15;78
68;59
83;21
74;54
5;72
51;11
62;12
47;2
172;99
82;13
78;70
93;43
153;39
64;78
40;75
75;78
231;38
82;56
50;71
16;62
117;13
166;87
56;15
134;35
72;85
126;21
84;99
112;36
97;84
163;46
35;55
146;80
64;95
66;20
116;72
154;87
122;43
160;67
126;54
96;98
144;30
124;39
133;63
154;1
205;83
32;60
66;66
124;37
76;32
141;41
17;76
131;5
149;14
68;34
58;83
159;23
141;39
171;47
100;6
94;65
127;49
100;20
48;62
60;66
115;95
19;49
143;29
95;6
82;39
117;22
2;60
61;76
127;39
134;28
160;5
160;31
73;64
127;86
93;16
105;28
41;20
166;92
60;48
133;11
101;50
17;31
105;21
126;82
91;69
113;40
151;34
85;28
67;8
135;50
69;19
137;48
166;52
138;69
126;9
108;96
90;14
127;5
109;48
31;8
117;16
104;26
146;95
92;55
48;58
55;14
83;17
106;28
156;37
88;60
158;91
56;52
113;96
85;99
169;78
108;24
110;49
136;77
81;93
52;47
76;41
92;18
135;21
64;44
112;55
51;62
118;37
63;20
36;42
28;73
21;84
137;88
128;91
166;69
42;15
91;91
34;65
35;27
132;6
20;49
112;13
20;80
3;57
153;90
113;45
75;40
144;75
171;69
147;71
90;6
55;36
171;29
100;70
33;76
241;95
63;61
119;5
94;10
128;66
100;14
128;70
104;10
55;72
173;99
96;97
81;86
111;86
127;90
84;4
136;71
133;65
108;55
144;90
118;51
54;69
50;2
19;91
182;21
22;29
155;95
63;37
47;92
28;4
47;86
70;34
55;26
42;19
167;52
49;89
16;93
29;20
102;35
81;86
54;64
110;34
5;19
58;75
123;99
48;50
92;53
56;61
67;88
92;85
131;54
122;86
91;72
111;23
156;54
174;29
88;31
60;58
163;49
110;96
42;74
103;79
64;52
106;15
46;94
58;96
102;52
41;89
137;99
125;4
59;19
123;47
95;11
135;13
68;71
114;83
91;33
84;60
101;81
127;65
72;16
144;4
210;92
95;91
47;25
36;91
147;11
16;90
180;17
201;3
49;65
78;22
146;57
136;23
155;69
28;49
95;36
131;32
190;5
182;28
203;92
124;53
65;2
72;24
161;1
125;36
175;55
186;4
101;71
73;1
23;76
35;51
67;93
139;66
149;14
75;64
141;91
68;45
101;57
38;58
160;68
62;38
135;49
36;66
116;95
147;70
82;82
186;81
75;34
142;88
78;78
157;42
152;95
71;43
64;99
